,Logistic Regression,Logistic Regression (Balanced),Logistic Regression (Redundant),Logistic Regression (Feature Importance),Logistic Regression (PCA),Logistic Regression (LDA),KNN,XGBoost
Accuracy,0.9736842105263158,0.9529411764705882,0.9736842105263158,0.9649122807017544,0.9385964912280702,0.9736842105263158,0.9473684210526315,0.956140350877193
Precision,0.9761904761904762,0.9565217391304348,0.9761904761904762,0.9534883720930233,1.0,0.9761904761904762,0.9302325581395349,0.9523809523809523
Recall,0.9534883720930233,0.9565217391304348,0.9534883720930233,0.9534883720930233,0.8372093023255814,0.9534883720930233,0.9302325581395349,0.9302325581395349
F1 Score,0.9647058823529412,0.9565217391304348,0.9647058823529412,0.9534883720930233,0.9113924050632911,0.9647058823529412,0.9302325581395349,0.9411764705882353
ROC AUC,0.99737962659679,0.9821627647714604,0.99737962659679,0.9967245332459875,0.9980347199475926,0.9977071732721913,0.9759253193580085,0.9934490664919751
